name,country,source,website,email,phone,address,industry,sub_industry,contact_person,contact_title,products_services,tender_categories,source_url,notes
MsElectrical,Jamaica,GOJEP Awards,,,,,W0040-Building Maintenance,,,,,supply;energy,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9230136,"won: Procurement for Electrical Repairs at Kilsyth Primary and Infant School in Clarendon; value: 1756550.00 Currency: JMD; date: 17/05/2026 03:25:34; agency: Ministry of Education, Youth and Information"
Mar-Osh Innovative Construction Company Limited,Jamaica,GOJEP Awards,,,,,W0050-Civil Engineering,,,,,construction,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9525043,"won: Emergency Works Hurricane Melissa Reopening of roads Bog to New Works to Darliston, Westmoreland; value: 3304677.44 Currency: JMD; date: 15/05/2026 22:02:14; agency: National Works Agency"
Maxwell Construction Company Limited,Jamaica,GOJEP Awards,,,,,W0050-Civil Engineering,,,,,construction,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9524092,"won: Emergency Works Hurricane Melissa Reopening Roads- Jackson Town - Ulster Spring , Mahogany Hall+Stettin - Highgate Hall, Allsides+Wirefence - Warsop, Thompson Town, Trelawny; value: 2957286.50 Currency: JMD; date: 15/05/2026 21:01:35; agency: National Works Agency"
A and L Industrial Specialties Limited,Jamaica,GOJEP Awards,,,,,W0050-Civil Engineering,,,,,construction,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9523913,won: Emergency Works Hurricane Melissa- Reopening of Ocho Rios to Hopewell Milford Road to Fern Gully St Ann; value: 5468233.62 Currency: JMD; date: 15/05/2026 20:48:15; agency: National Works Agency
Stone Plus Limited,Jamaica,GOJEP Awards,,,,,W0050-Civil Engineering,,,,,construction,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9523814,"won: Emergency Works Hurricane Melissa Reopening of Roads -Wait-a-bit to Hector's River, Wait-a-Bit to Greentown, Trelawny; value: 4020303.12 Currency: JMD; date: 15/05/2026 20:43:52; agency: National Works Agency"
S and G Road Surfacing Materials Limited,Jamaica,GOJEP Awards,,,,,W0050-Civil Engineering,,,,,construction,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9523403,"won: Emergency Works Hurricane Melissa Reopening of Roads - Albert Town - Troy (Troy - Warsop), Trelawny; value: 1861821.58 Currency: JMD; date: 15/05/2026 20:21:41; agency: National Works Agency"
D and D Asphalting and Paving Co. Ltd.,Jamaica,GOJEP Awards,,,,,W0050-Civil Engineering,,,,,construction,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9523223,"won: Emergency Works Hurricane Melissa Reopening of roads Albany to Moreland Hill and Dunbar’s River to Torrington, Westmoreland.; value: 4601720.02 Currency: JMD; date: 15/05/2026 20:18:19; agency: National Works Agency"
MEDCO MEDICAL SUPPLIES LTD,Jamaica,GOJEP Awards,,,,,"G0180-Electronic Equipment, Parts and Supplies",,,,,supply;healthcare,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9320489,won: The Procurement of Smart Body Mass Scale for Health Education and Promotion 25/26 Tech 0031; value: 2/ 2; date: 15/05/2026 20:12:25; agency: Western Regional Health Authority
THE PRINT CENTER LTD,Jamaica,GOJEP Awards,,,,,G0540-Stationery Supplies,,,,,supply,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=8816230,won: Procurement of Stationery (Referral Form A); value: 581900.00 Currency: JMD; date: 15/05/2026 20:05:12; agency: St. Catherine Health Services
Control Associates Caribe,Jamaica,GOJEP Awards,,,,,G0210-General Supplies,,,,,supply,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=5383291,won: Procurement of Stem Plug and I and P Converter; value: 8418.00 Currency: USD; date: 15/05/2026 19:44:00; agency: Petrojam Limited
VM CONSTRUCTION AND HAULAGE COMPANY LTD T-A VM CONSTRUCTION AND HAULAGE,Jamaica,GOJEP Awards,,,,,W0050-Civil Engineering,,,,,construction,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9521159,"won: Emergency Works Hurricane Melissa Reopening of Roads- Albert Town to Allsides), Trelawny; value: 5087031.20 Currency: JMD; date: 15/05/2026 18:22:33; agency: National Works Agency"
Lasco Distributors Limited,Jamaica,GOJEP Awards,,,,,"G0350-Medical, Equipment and Supplies",,,,,supply;healthcare,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9226261,won: The Procurement of HbA1C for Lab - LAB-26/27-002; value: 16042.50 Currency: USD; date: 15/05/2026 13:48:06; agency: Western Regional Health Authority
CRICHTON BROS LTD,Jamaica,GOJEP Awards,,,,,G0230-Hardware and Haberdashery,,,,,supply,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9324477,won: Procurement of Plumbing Materials for Back-up Water System 26/27-AL-055; value: 149109.00 Currency: JMD; date: 14/05/2026 23:20:21; agency: Western Regional Health Authority
Massy Distribution (Jamaica) Limited,Jamaica,GOJEP Awards,,,,,"G0350-Medical, Equipment and Supplies",,,,,supply;healthcare,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9281936,won: Procurement of Tegaderm 26/27-AL-087; value: 805575.00 Currency: JMD; date: 14/05/2026 22:59:35; agency: Western Regional Health Authority
SHEKINAH TRADING LIMITED,Jamaica,GOJEP Awards,,,,,"G0350-Medical, Equipment and Supplies",,,,,supply;healthcare,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9275944,won: Procurement of Neonate Spo2 Sensor 26/27-AL-106; value: 1545600.00 Currency: JMD; date: 14/05/2026 22:54:44; agency: Western Regional Health Authority
Bharwani Jamaica Ltd. T/A Colours OF Jamaica,Jamaica,GOJEP Awards,,,,,"G0240-Heating, ventilation and air conditioning, equipment parts and supplies",,,,,supply,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9323792,won: Procurement of Air Condition Units 26/27-AL-171; value: 1133273.25 Currency: JMD; date: 14/05/2026 22:49:51; agency: Western Regional Health Authority
Renal Dynamics LLC,Jamaica,GOJEP Awards,,,,,"G0350-Medical, Equipment and Supplies",,,,,supply;healthcare,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9324248,won: Procurement of Degreaser 26/27-AL-164; value: 720.00 Currency: USD; date: 14/05/2026 22:37:14; agency: Western Regional Health Authority
Marathon Insurance Brokers Limited,Jamaica,GOJEP Awards,,,,,S0330-Insurance Services,,,,,supply,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=8730250,won: Procurement of General Insurance Services; value: 27766872.00 Currency: JMD; date: 14/05/2026 21:58:57; agency: Development Bank of Jamaica
Mona Graphic Printers Company Limited,Jamaica,GOJEP Awards,,,,,G0470-Promotional Items,,,,,supply,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=8408530,won: Procurement of Pocket Folders for the Caribbean Maritime University; value: 2/ 2; date: 14/05/2026 20:11:55; agency: Caribbean Maritime University
